ID_MT,ENTIDAD,GiZScore,Fallecidos,GiPValue,Tramo,Nombre,Latitud,Longitud,PR,Municipio,Departamento,divipola
<Null>,INVIAS-OTROS,1.662108,2,0.096491,,,4.73792,-75.898956,2,CARTAGO,VALLE DEL CAUCA,76147
<Null>,DEPTO,4.771095,19,0.000002,Buga- La Victoria,,4.168398,-76.173499,0,ANDALUCÍA,VALLE DEL CAUCA,76036
<Null>,DEPTO,4.179201,17,0.000029,Buga- La Victoria,,4.037479,-76.210181,87,SAN PEDRO,VALLE DEL CAUCA,76670
<Null>,DEPTO,5.954884,23,0,Buga- La Victoria,,4.000509,-76.229883,82,SAN PEDRO,VALLE DEL CAUCA,76670
<Null>,DEPTO,2.143707,9,0.032056,Buga- La Victoria,,3.975317,-76.248638,78,SAN PEDRO,VALLE DEL CAUCA,76670
<Null>,DEPTO,3.651162,7,0.000261,Buga- La Victoria,,3.964974,-76.261151,sd,SAN PEDRO,VALLE DEL CAUCA,76670
<Null>,DEPTO,4.334761,14,0.000015,Buga- La Victoria,,3.952215,-76.27109,75,BUGA,VALLE DEL CAUCA,76111
<Null>,DEPTO,4.163861,13,0.000031,Buga- La Victoria,,3.938814,-76.279742,73,BUGA,VALLE DEL CAUCA,76111
<Null>,DEPTO,2.967562,6,0.003002,Buga- La Victoria,,3.928157,-76.28615,71,BUGA,VALLE DEL CAUCA,76111
<Null>,DEPTO,2.113062,7,0.034595,Buga- La Victoria,,3.921209,-76.29417,70,BUGA,VALLE DEL CAUCA,76111
<Null>,DEPTO,2.283962,8,0.022374,Buga- La Victoria,,3.909898,-76.306519,68,BUGA,VALLE DEL CAUCA,76111
<Null>,DEPTO,1.848127,7,0.064584,Buga- La Victoria,,3.897147,-76.312121,118,BUGA,VALLE DEL CAUCA,76111
<Null>,INVIAS-OTROS,2.198885,7,0.027886,Loboguerrero - Buga,,3.891756,-76.317133,117,BUGA,VALLE DEL CAUCA,76111
<Null>,INVIAS-OTROS,4.771095,19,0.000002,Candelaria-Buga,,3.835801,-76.302609,59,BUGA,VALLE DEL CAUCA,76111
<Null>,INVIAS-OTROS,4.655158,18,0.000003,Candelaria-Buga,,3.785473,-76.319112,55,GUACARÍ,VALLE DEL CAUCA,76318
<Null>,INVIAS-OTROS,4.655158,10,0.000003,Candelaria-Buga,,3.770634,-76.326015,53,GUACARÍ,VALLE DEL CAUCA,76318
<Null>,INVIAS-OTROS,2.10757,10,0.035068,Candelaria-Buga,,3.745999,-76.324502,49,GUACARÍ,VALLE DEL CAUCA,76318
<Null>,INVIAS-OTROS,1.942162,8,0.052117,Candelaria-Buga,,3.684455,-76.307218,42,EL CERRITO,VALLE DEL CAUCA,76248
<Null>,INVIAS-OTROS,7.138672,27,0,Cali - Palmira,,3.517906,-76.366127,13,PALMIRA,VALLE DEL CAUCA,76520
<Null>,INVIAS-OTROS,5.067042,20,0,Cali - Palmira,,3.507193,-76.413909,9,PALMIRA,VALLE DEL CAUCA,76520
<Null>,INVIAS-OTROS,1.771262,5,0.076517,,,3.551248,-76.477194,sd,PALMIRA,VALLE DEL CAUCA,76520
