Fecha,Ciudad,Sistema,Pasajeros/dia,Variación Transmilenio,Pasajeros día típico laboral,Pasajeros día sábado,Pasajeros día festivo,DíaSemana
11/07/2020,Cali/Valle,MIO,125107,"-0,594318178",436000,308387,149213,6
10/05/2020,Cali/Valle,MIO,40042,"-0,731645366",436000,308387,149213,7
26/03/2020,Cali/Valle,MIO,64709,"-0,851584862",436000,308387,149213,4
27/08/2020,Cali/Valle,MIO,160163,"-0,63265367",436000,308387,149213,4
11/05/2020,Cali/Valle,MIO,113222,"-0,740316514",436000,308387,149213,1
22/03/2020,Cali/Valle,MIO,23899,"-0,83983299",436000,308387,149213,7
02/08/2020,Cali/Valle,MIO,56133,"-0,623806237",436000,308387,149213,7
28/04/2020,Cali/Valle,MIO,93270,"-0,786077982",436000,308387,149213,2
02/05/2020,Cali/Valle,MIO,63239,"-0,794936233",436000,308387,149213,6
04/07/2020,Cali/Valle,MIO,128601,"-0,582988258",436000,308387,149213,6
09/04/2020,Cali/Valle,MIO,33948,"-0,922137615",436000,308387,149213,4
03/09/2020,Cali/Valle,MIO,173996,"-0,600926606",436000,308387,149213,4
02/08/2020,Cali/Valle,MIO,172250,"-0,604931193",436000,308387,149213,1
16/04/2020,Cali/Valle,MIO,84863,"-0,805360092",436000,308387,149213,4
08/05/2020,Cali/Valle,MIO,112530,"-0,74190367",436000,308387,149213,5
07/08/2020,Cali/Valle,MIO,63939,"-0,57149176",436000,308387,149213,5
26/05/2020,Cali/Valle,MIO,135474,"-0,689279817",436000,308387,149213,2
22/07/2020,Cali/Valle,MIO,165357,"-0,620740826",436000,308387,149213,3
25/06/2020,Cali/Valle,MIO,163096,"-0,625926606",436000,308387,149213,4
06/04/2020,Cali/Valle,MIO,71036,"-0,837073394",436000,308387,149213,1
01/06/2020,Cali/Valle,MIO,142489,"-0,045063098",436000,308387,149213,1
28/06/2020,Cali/Valle,MIO,56606,"-0,620636272",436000,308387,149213,7
24/06/2020,Cali/Valle,MIO,162313,"-0,627722477",436000,308387,149213,3
20/07/2020,Cali/Valle,MIO,49978,"-0,665055994",436000,308387,149213,1
03/08/2020,Cali/Valle,MIO,172250,"-0,604931193",436000,308387,149213,2
16/06/2020,Cali/Valle,MIO,162876,"-0,626431193",436000,308387,149213,2
04/09/2020,Cali/Valle,MIO,174190,"-0,600481651",436000,308387,149213,5
29/03/2020,Cali/Valle,MIO,25378,"-0,829920985",436000,308387,149213,7
05/04/2020,Cali/Valle,MIO,27693,"-0,814406251",436000,308387,149213,7
29/05/2020,Cali/Valle,MIO,132729,"-0,695575688",436000,308387,149213,5
26/06/2020,Cali/Valle,MIO,167246,"-0,616408257",436000,308387,149213,5
19/04/2020,Cali/Valle,MIO,29933,"-0,799394155",436000,308387,149213,7
01/07/2020,Cali/Valle,MIO,175459,"-0,597571101",436000,308387,149213,3
05/08/2020,Cali/Valle,MIO,171168,"-0,607412844",436000,308387,149213,4
13/04/2020,Cali/Valle,MIO,84637,"-0,80587844",436000,308387,149213,1
11/08/2020,Cali/Valle,MIO,171786,"-0,605995413",436000,308387,149213,2
30/06/2020,Cali/Valle,MIO,177197,"-0,593584862",436000,308387,149213,2
03/04/2020,Cali/Valle,MIO,74582,"-0,828940367",436000,308387,149213,5
25/08/2020,Cali/Valle,MIO,159082,"-0,635133028",436000,308387,149213,2
25/04/2020,Cali/Valle,MIO,69959,"-0,773145431",436000,308387,149213,6
28/07/2020,Cali/Valle,MIO,161275,"-0,630103211",436000,308387,149213,2
21/03/2020,Cali/Valle,MIO,40119,"-0,869906968",436000,308387,149213,6
01/08/2020,Cali/Valle,MIO,125763,"-0,592190981",436000,308387,149213,6
16/08/2020,Cali/Valle,MIO,50953,"-0,658521711",436000,308387,149213,7
27/04/2020,Cali/Valle,MIO,96760,"-0,778073394",436000,308387,149213,1
09/07/2020,Cali/Valle,MIO,165976,"-0,619321101",436000,308387,149213,4
21/06/2020,Cali/Valle,MIO,54194,"-0,636801083",436000,308387,149213,7
06/09/2020,Cali/Valle,MIO,61318,"-0,589057254",436000,308387,149213,7
18/03/2020,Cali/Valle,MIO,233000,"-0,46559633",436000,308387,149213,3
19/05/2020,Cali/Valle,MIO,118130,"-0,729059633",436000,308387,149213,2
21/05/2020,Cali/Valle,MIO,120597,"-0,723401376",436000,308387,149213,4
03/05/2020,Cali/Valle,MIO,35189,"-0,764169342",436000,308387,149213,7
06/05/2020,Cali/Valle,MIO,109399,"-0,749084862",436000,308387,149213,3
10/04/2020,Cali/Valle,MIO,27464,"-0,937009174",436000,308387,149213,5
02/06/2020,Cali/Valle,MIO,146069,"-0,664979358",436000,308387,149213,2
01/05/2020,Cali/Valle,MIO,34334,"-0,921252294",436000,308387,149213,5
23/07/2020,Cali/Valle,MIO,163278,"-0,625509174",436000,308387,149213,4
28/08/2020,Cali/Valle,MIO,167564,"-0,615678899",436000,308387,149213,5
27/07/2020,Cali/Valle,MIO,160341,"-0,632245413",436000,308387,149213,1
14/08/2020,Cali/Valle,MIO,164613,"-0,622447248",436000,308387,149213,5
29/04/2020,Cali/Valle,MIO,99993,"-0,770658257",436000,308387,149213,3
31/03/2020,Cali/Valle,MIO,70808,"-0,83759633",436000,308387,149213,2
21/07/2020,Cali/Valle,MIO,163526,"-0,624940367",436000,308387,149213,2
03/06/2020,Cali/Valle,MIO,145377,"-0,666566514",436000,308387,149213,3
28/05/2020,Cali/Valle,MIO,131242,"-0,698986239",436000,308387,149213,4
04/06/2020,Cali/Valle,MIO,144802,"-0,667885321",436000,308387,149213,4
17/06/2020,Cali/Valle,MIO,163249,"-0,625575688",436000,308387,149213,3
11/06/2020,Cali/Valle,MIO,148777,"-0,658768349",436000,308387,149213,4
25/05/2020,Cali/Valle,MIO,44157,"-0,70406734",436000,308387,149213,1
19/08/2020,Cali/Valle,MIO,161862,"-0,628756881",436000,308387,149213,3
13/05/2020,Cali/Valle,MIO,114602,"-0,737151376",436000,308387,149213,3
30/03/2020,Cali/Valle,MIO,72564,"-0,833568807",436000,308387,149213,1
24/03/2020,Cali/Valle,MIO,108924,"-0,750174312",436000,308387,149213,2
17/03/2020,Cali/Valle,MIO,265906,"-0,390123853",436000,308387,149213,2
19/07/2020,Cali/Valle,MIO,46680,"-0,687158626",436000,308387,149213,7
23/06/2020,Cali/Valle,MIO,162514,"-0,627261468",436000,308387,149213,2
07/06/2020,Cali/Valle,MIO,49875,"-0,665746282",436000,308387,149213,7
09/05/2020,Cali/Valle,MIO,82218,"-0,733393431",436000,308387,149213,6
15/08/2020,Cali/Valle,MIO,122030,"-0,604295901",436000,308387,149213,6
06/08/2020,Cali/Valle,MIO,170659,"-0,608580275",436000,308387,149213,4
18/04/2020,Cali/Valle,MIO,58325,"-0,810870757",436000,308387,149213,6
21/08/2020,Cali/Valle,MIO,165262,"-0,620958716",436000,308387,149213,5
01/04/2020,Cali/Valle,MIO,75599,"-0,826607798",436000,308387,149213,3
05/07/2020,Cali/Valle,MIO,57246,"-0,616347101",436000,308387,149213,7
17/07/2020,Cali/Valle,MIO,161379,"-0,629864679",436000,308387,149213,5
17/08/2020,Cali/Valle,MIO,52533,"-0,647932821",436000,308387,149213,1
19/06/2020,Cali/Valle,MIO,166958,"-0,617068807",436000,308387,149213,5
10/06/2020,Cali/Valle,MIO,150798,"-0,654133028",436000,308387,149213,3
15/04/2020,Cali/Valle,MIO,85630,"-0,803600917",436000,308387,149213,3
18/08/2020,Cali/Valle,MIO,167563,"-0,615681193",436000,308387,149213,2
26/04/2020,Cali/Valle,MIO,37010,"-0,751965311",436000,308387,149213,7
29/06/2020,Cali/Valle,MIO,60700,"-0,593198984",436000,308387,149213,1
24/08/2020,Cali/Valle,MIO,159082,"-0,635133028",436000,308387,149213,1
08/06/2020,Cali/Valle,MIO,144203,"-0,669259174",436000,308387,149213,1
04/08/2020,Cali/Valle,MIO,174683,"-0,599350917",436000,308387,149213,3
23/03/2020,Cali/Valle,MIO,26999,"-0,938075688",436000,308387,149213,1
24/05/2020,Cali/Valle,MIO,43484,"-0,708577671",436000,308387,149213,7
02/09/2020,Cali/Valle,MIO,173400,"-0,602293578",436000,308387,149213,3
21/04/2020,Cali/Valle,MIO,83582,"-0,808298165",436000,308387,149213,2
08/07/2020,Cali/Valle,MIO,170595,"-0,608727064",436000,308387,149213,3
10/09/2020,Cali/Valle,MIO,,,436000,308387,149213,4
23/04/2020,Cali/Valle,MIO,88272,"-0,797541284",436000,308387,149213,4
14/04/2020,Cali/Valle,MIO,83470,"-0,808555046",436000,308387,149213,2
