departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro
25,CUNDINAMARCA,25126,CAJICA,ESTACION PUENTE CAJICA,BIOMAX,PREDIO BARICHARA 2 VEREDA CALAHORRA,GASOLINA EXTRA OXIGENADA,11999,1,05/12/2018 12:00:00 AM
05,ANTIOQUIA,05360,ITAGUI,ESTACION DE SERVICIO TEXACO SURAMERICA,TEXACO,CARRERA 42 No. 24-345 AUTOPISTA SUR,BIODIESEL EXTRA,8460,1,05/04/2018 12:00:00 AM
70,SUCRE,70221,COVEÑAS,SERVICENTRO COVEÑAS,PETROMIL,CALLE 10 No.10E-290,GASOLINA EXTRA OXIGENADA,11620,1,05/02/2018 12:00:00 AM
81,ARAUCA,81794,TAME,ESTACION DE SERVICIO REAL SANTANDER,TERPEL,CALLE 14 NO. 11-21,GASOLINA CORRIENTE,7440,1,05/02/2018 12:00:00 AM
52,NARIÑO,52473,MOSQUERA,ESTACION DE SERVICIO VARIEDADES RAJI LTDA,BIOMAX,CALLE 2 No. 6 -05,GASOLINA CORRIENTE OXIGENADA,7250,1,04/05/2017 12:00:00 AM
18,CAQUETA,18410,LA MONTAÑITA,ESTACION DE SERVICIO ABASTOS BOCANEGRA,TERPEL,CALLE 2 CARRERA 2 UNION PENEYA,GASOLINA CORRIENTE OXIGENADA,9850,1,05/02/2018 12:00:00 AM
86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,SERVI MARCELA ESTACION DE SERVICIO,TERPEL,CALLE 15 VDA EL PALMAR,BIODIESEL EXTRA,7300,1,05/05/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO SANTA SOFIA DE SUBA,BIOMAX,AVENIDA CALLE 132 No. 94 F-52,BIOACEM AL 9%,8289,1,05/03/2018 12:00:00 AM
25,CUNDINAMARCA,25488,NILO,ESTACION DE SERVICIO TOLEMAIDA,TERPEL,FINCA TOLEMAIDA,BIOACEM AL 9%,8490,1,05/04/2018 12:00:00 AM
17,CALDAS,17380,LA DORADA,ESTACION DE SERVICIO LA ALHAMBRA GUARINOCITO,TERPEL,CALLE 7 No. 5-12 GUARINOCITO,BIODIESEL EXTRA,7998,1,05/05/2018 12:00:00 AM
25,CUNDINAMARCA,25873,VILLAPINZON,EDS VALY,MOBIL,LOTE EL VERGEL VEREDA LA MERCED,GASOLINA CORRIENTE OXIGENADA,9063,1,05/02/2018 12:00:00 AM
20,CESAR,20178,CHIRIGUANA,ESTACION DE SERVICIO CHIRIGUANA,PETROMIL,TRONCAL DEL CARIBE KM 20 MAS 200 MTS CRR LA AURORA,GASOLINA CORRIENTE OXIGENADA,7253,1,05/07/2018 12:00:00 AM
05,ANTIOQUIA,05308,GIRARDOTA,ESTACION DE SERVICIO  CORALINAS,ZEUSS,Km. 1 Entrada a Girardota,GASOLINA CORRIENTE OXIGENADA,8890,1,05/05/2018 12:00:00 AM
52,NARIÑO,52352,ILES,ESTACION DE SERVICIO SANTA LUCIA,TERPEL,CARRERA 7 No. 7 - 45 BARRIO EL EDEN,BIODIESEL EXTRA,6770,1,05/02/2018 12:00:00 AM
25,CUNDINAMARCA,25290,FUSAGASUGA,CODELCE EDS LAS PALMAS,MOBIL,AVENIDA LAS PALMAS No 15A-60,GASOLINA EXTRA OXIGENADA,11990,1,05/01/2018 12:00:00 AM
85,CASANARE,85162,MONTERREY,ESTACION DE SERVICIO AUTOMOTRIZ MORICHAL DEL LLANO LIMITADA,TERPEL,KILOMETRO 1 No.16-25,BIOACEM AL 9%,8635,1,05/03/2018 12:00:00 AM
17,CALDAS,17380,LA DORADA,ESTACION DE SERVICIO Y SERVITECA EL RHIN,TERPEL,CALLE 11 No. 5 - 40,GASOLINA EXTRA OXIGENADA,10000,1,05/04/2018 12:00:00 AM
70,SUCRE,70221,COVEÑAS,ESTACION DE SERVICIO LOS MANGOS DE COVEÑAS,TERPEL,CALLE 10 No. 10-139 SECTOR ISLA GALLINAZOS PARCELA 223 - 224,GASOLINA CORRIENTE OXIGENADA,9200,1,05/02/2018 12:00:00 AM
13,BOLIVAR,13001,CARTAGENA DE INDIAS,ESTACION DE SERVICIO MAMONAL,MOBIL,KILOMETRO 9 VIA MAMONAL,GASOLINA CORRIENTE OXIGENADA,8490,1,05/03/2018 12:00:00 AM
76,VALLE DEL CAUCA,76100,BOLIVAR,ESTACION DE SERVICIO LA PRIMAVERA,BIOMAX,CR 5 11 35 CORREGIMIENTO PRIMAVERA,GASOLINA CORRIENTE OXIGENADA,9300,1,05/08/2018 12:00:00 AM
19,CAUCA,19809,TIMBIQUI,ESTACION DE SERVICIO COMBUSTIBLES LA PEÑA TIMBIQUI,PETROMIL,BARRIO LOS ALMENDROS,BIODIESEL EXTRA,8650,1,04/14/2018 12:00:00 AM
17,CALDAS,17867,VICTORIA,ESTACION DE SERVICIO SERVITERPEL,TERPEL,Calle 7 No. 7-14 y 7-06,GASOLINA CORRIENTE OXIGENADA,9000,1,05/04/2018 12:00:00 AM
68,SANTANDER,68001,BUCARAMANGA,ESTACION DE SERVICIO LA ISABELA,MOBIL,Calle 105 No. 16a-32,GASOLINA EXTRA OXIGENADA,11250,1,05/02/2018 12:00:00 AM
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO EXITO FONTIBON,MOBIL,DIAGONAL 16 No. 104 - 51,BIODIESEL EXTRA,8260,1,05/02/2018 12:00:00 AM
50,META,50711,VISTAHERMOSA,ESTACION DE SERVICIO COMERCIALIZADORA LOS CAMBULOS,BIOMAX,Carrera 11 N° 12-20,BIODIESEL EXTRA,8790,1,05/04/2018 12:00:00 AM
99,VICHADA,99773,CUMARIBO,EDS Y BODEGA ORQUETA,TERPEL,Vereda Mata Grande,GASOLINA CORRIENTE OXIGENADA,9200,1,04/19/2018 12:00:00 AM
68,SANTANDER,68081,BARRANCABERMEJA,ESTACION DE SERVICIO EL FERROCARRIL,MOBIL,CARRERA 23 No. 50-38 BARRIO COLOMBIA,BIODIESEL EXTRA,8871,1,05/02/2018 12:00:00 AM
52,NARIÑO,52233,CUMBITARA,ESTACION DE SERVICIO VILLA FLOR,PETROMIL,CORREGIMIENTO DE PISANDA,BIODIESEL EXTRA,7500,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76834,TULUA,EDS ENTRE RIOS,TERPEL,CARRERA 30 No. 16-03,GASOLINA CORRIENTE OXIGENADA,9230,1,05/02/2018 12:00:00 AM
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO LOS GUADUALES,TEXACO,CALLE 70  No. 8N-50,GASOLINA CORRIENTE OXIGENADA,8750,1,05/03/2018 12:00:00 AM
25,CUNDINAMARCA,25815,TOCAIMA,ESTACION DE SERVICIO TEQUENDAMA,TERPEL,CALLE 4 No. 3-02 BARRIO CATAMICA,BIOACEM AL 9%,8705,1,05/01/2018 12:00:00 AM
